Title,Salary,Company,Location
Програміст мікроконтролерів (STM32),50 000 — 80 000 ₴,Robol,Дніпро
С++ developer,Не вказано,"Absolutist, Game company",Дніпро
Програміст С++,25 000 — 50 000 ₴,"ГЕФЕСТ, ООО, ТД",Дніпро
Інженер-програміст БПЛА (R&D),50 000 — 120 000 ₴,Батальйон безпілотних систем 60 ОМБр,Вся Україна
Фахівець в галузі програмування,27 000 — 127 000 ₴,"Азов, 12-та бригада спеціального призначення НГУ",Вся Україна
Embedded-розробник програмного забезпечення,Не вказано,UDI GROUP,Львів
Технічний керівник,Не вказано,BazaIT,Львів (віддалено)
Software C++ Engineer,Не вказано,Renesas,Львів
"Програміст, викладач курсу С++",Не вказано,IT Step Lviv,Львів
Фахівець в галузі програмування,27 000 — 127 000 ₴,"Азов, 12-та бригада спеціального призначення НГУ",Вся Україна
