Title,Salary,Company,Location
"Flutter Developer Strong Junior, Middle",Не вказано,Avtologistika,Київ (віддалено)
Senior сс2,1 000 — 2 000 ₴,Анонімна компанія,Бар (віддалено)
Інженер Embedded Linux / Full-Stack,Не вказано,Смартлайт,Київ (віддалено)
C/C++ developer,Не вказано,Ozzylogik,Київ (віддалено)
Embedded C/C++ developer,Не вказано,Ozzylogik,Київ (віддалено)
Junior Algorithmic Trader (стажування / навчальна програма),Не вказано,"Мясникова Я.І., ФОП",Ополе (віддалено)
Інженер-конструктор / Інженер-схемотехнік,Не вказано,Hiring and Dealing,Інші країни (віддалено)
"Інженер електроніки, програміст мікроконтролерів",20 000 — 60 000 ₴,ЮЕЙДІ Сістемс ООО,Інші країни (віддалено)
Junior РМ (remout),35 000 — 45 000 ₴,eZdorovya,Київ (віддалено)
программіст С++,30 000 — 35 000 ₴,"Вестрон, ООО",Харків (віддалено)
Embedded developer,Не вказано,MOODRO,Київ (віддалено)
Embedded developer,Не вказано,"Мейт., ТОВ",Київ (віддалено)
Розробник,40 000 — 100 000 ₴,Snowball Money,Інші країни (віддалено)
Junior C++ Developer (for desktop macOS),Не вказано,Syteca,Київ (віддалено)
Software C++ Engineer (Part-time),Не вказано,Renesas,Львів (віддалено)
Unity 3D Developer,Не вказано,Cyborgs.pro,Харків (віддалено)
iOS Developer,Не вказано,Playtini,Київ (віддалено)
Middle iOS Developer,Не вказано,Playtini,Київ (віддалено)
Full Stack C#/.Net Developer,Не вказано,PNN Soft,Київ (віддалено)
Інженер-програміст NET (C#),Не вказано,"НІБУЛОН, ТОВ СП",Київ (віддалено)
.Net developer,Не вказано,UGB еко банк країни / УКРГАЗБАНК АБ,Київ (віддалено)
Mid-level .NET Developer,72 000 — 100 000 ₴,Piche,Інші країни (віддалено)
Разработчик Back-end (Middle+),30 000 — 100 000 ₴,"УКР.ПЕЙ, ТОВ",Київ (віддалено)
Full Stack .NET Developer,142 000 ₴,Towers Associates,Великобританія (віддалено)
Програміст BAS,Не вказано,ЯПІКО,Київ (віддалено)
Middle C# (.NET) Developer,Не вказано,"ІС СІТІ, ТОВ",Київ (віддалено)
.Net Developer,Не вказано,SpaceCrew Finance Company,Київ (віддалено)
.NET розробник,Не вказано,"Делівері, ТОВ",Київ (віддалено)
Програміст К2,Не вказано,"МХП, ПрАТ",Київ (віддалено)
Unity Developer з досвідом Photon Quantum,60 000 — 130 000 ₴,ex2.team,Інші країни (віддалено)
Full Stack .NET Розробник,Не вказано,"Devprove, ТОВ",Київ (віддалено)
Розробник у службу підтримки Creatio,Не вказано,Sales'Up IT,Київ (віддалено)
Middle Full Stack .NET developer,60 — 90 000 ₴,HighCraft.io,Київ (віддалено)
Unity Developer,38 925 — 62 500 ₴,LaserGames,Київ (віддалено)
Junior Back-End Developer,Не вказано,IT-Enterprise,Київ (віддалено)
Trainee Full Stack Developer,Не вказано,Aionys,Інші країни (віддалено)
C#/.NET розробник (Junior /Junior + ),10 000 — 30 000 ₴,"Томило С., ФОП",Кропивницький (віддалено)
"Програміст С, С++, С#",1 000 ₴,"Профи-ПО, ООО",Київ (віддалено)
Middle .NET fullstack developer,Не вказано,Cybrio.teach,Київ (віддалено)
Trainee/Junior .NET Developer,Не вказано,Bootsik,Львів (віддалено)
.Net Full-Stack Senior на open-source проекты по децентрализации,100 000 — 200 000 ₴,Ultranet Technology Research Organization,Інші країни (віддалено)
"Back-end C#, . NET (волонтерство)",Не вказано,Charity Lab Foundation,Київ (віддалено)
Middle+ С# developer,Не вказано,DIGITUM,Київ (віддалено)
Junior .NET / Fullstack Developer,20 000 — 20 000 ₴,SunHunter,Київ (віддалено)
Junior .NET Developer,Не вказано,"Codebridge Technology, Inc.",Київ (віддалено)
Developer Advocate – Unity + AI Tools,80 000 ₴,IXC / IntereXchange Carrier,Київ (віддалено)
Python Full-Stack Developer,Не вказано,PNN Soft,Київ (віддалено)
Програміст 1С/BAS,40 000 — 100 000 ₴,БРОВАР СОФТ,"Бровари, Київська область (віддалено)"
Архітектор 1С,Не вказано,ЮНІК ТРЕЙД,Київ (віддалено)
