Title,Salary,Company,Location
Middle Data Scientist/Machine Learning Engineer,Не вказано,АТБ-маркет,Львів (віддалено)
Senior Python Engineer,Не вказано,UKEESS Software House,Львів (віддалено)
Python Developer with AI Experience,6 000 — 27 000 ₴,"COXIT, LLC",Львів
Data Analyst,Не вказано,ПриватБанк,Львів (віддалено)
Lead Data Scientist/Machine Learning Engineer,Не вказано,АТБ-маркет,Львів (віддалено)
Senior AI LLM Data Scientist / Engineer,Не вказано,UKEESS Software House,Львів (віддалено)
Senior AI Data Scientist / Engineer,Не вказано,UKEESS Software House,Львів (віддалено)
Embedded-розробник програмного забезпечення,Не вказано,UDI GROUP,Львів
Інженер-програміст БПЛА (R&D),50 000 — 120 000 ₴,Батальйон безпілотних систем 60 ОМБр,Вся Україна
Back-end програміст (senior),22 000 — 55 000 ₴,7 Корпус Швидкого Реагування Десантно-штурмових військ,Вся Україна
Middle Data Scientist/Machine Learning Engineer,Не вказано,АТБ-маркет,Дніпро (віддалено)
Data Analyst,Не вказано,ПриватБанк,Дніпро (віддалено)
Data Officer (Фахівець/ фахівчиня з даних),64 534 — 71 179 ₴,ACTED,Дніпро
Data scientist,Не вказано,Fintech Farm,Дніпро (віддалено)
